,,,,,GyroX,GyroY,GyroZ,GyroX_MAX,GyroX_MIN,GyroY_MAX,GyroY_MIN,GyroZ_MAX,GyroZ_MIN,GyroX_DIFF,GyroY_DIFF,GyroZ_DIFF
40580,5.32,1.71,-11.57,40580,1.11,0.28,-0.08,,,,,,,,,
40590,4.86,-0.34,-5.91,40590,0.88,0.33,-0.02,,,,,,,,,
40600,3.06,-3.47,-5.41,40600,0.83,0.1,-0.07,,,,,,,,,
40610,5.41,-5.23,-5.93,40610,0.76,-0.02,-0.26,,,,,,,,,
40620,3.29,-4.4,-6.43,40620,0.63,-0.13,-0.48,,,,,,,,,
40630,4.7,-3.33,-8.21,40630,0.44,-0.21,-0.65,,,,,,,,,
40640,5.06,-1.61,-9.07,40640,0.11,-0.21,-0.74,,,,,,,,,
40650,4.55,0.82,-9.56,40650,-0.23,-0.19,-0.74,,,,,,,,,
40660,4.95,2.75,-10.11,40660,-0.47,-0.15,-0.62,,,,,,,,,
40670,5.14,3.95,-11.24,40670,-0.57,-0.08,-0.38,,,,,,,,,
40680,4.38,3.36,-11.89,40680,-0.44,0.05,-0.1,,,,,,,,,
40690,4.11,1.69,-10.32,40690,-0.17,0.16,0.13,,,,,,,,,
40700,4.15,-0.47,-7.45,40700,0.01,0.14,0.28,,,,,,,,,
40710,3.6,-3.03,-5.52,40710,0.05,-0.03,0.29,,,,,,,,,
40720,3.65,-4.28,-4.98,40720,-0.1,-0.23,0.2,,,,,,,,,
40730,3.57,-4.39,-5.57,40730,-0.31,-0.43,0.07,,,,,,,,,
40740,3.48,-3.59,-7.47,40740,-0.46,-0.57,-0.03,,,,,,,,,
40750,3.6,-2,-9.71,40750,-0.41,-0.62,-0.06,,,,,,,,,
40760,3.64,-0.35,-11.73,40760,-0.27,-0.56,-0.01,,,,,,,,,
40770,3.81,0.8,-12.58,40770,-0.17,-0.42,0.12,,,,,,,,,
40780,3.58,0.77,-12.43,40780,-0.14,-0.25,0.27,,,,,,,,,
40790,3.4,-0.37,-11.11,40790,-0.16,-0.11,0.4,,,,,,,,,
40800,3.37,-2.31,-9.65,40800,-0.2,-0.06,0.44,,,,,,,,,
40810,3.28,-4.23,-8.79,40810,-0.21,-0.08,0.39,,,,,,,,,
40820,3.45,-5.53,-8.8,40820,-0.26,-0.13,0.23,,,,,,,,,
40830,3.36,-5.41,-9.42,40830,-0.24,-0.16,0.06,,,,,,,,,
